filename,split,label
normal_062.h5,train,normal
normal_091.h5,train,normal
normal_120.h5,train,normal
normal_043.h5,train,normal
normal_144.h5,train,normal
normal_087.h5,train,normal
normal_134.h5,train,normal
normal_128.h5,train,normal
normal_137.h5,train,normal
normal_067.h5,train,normal
normal_031.h5,train,normal
normal_124.h5,train,normal
normal_152.h5,train,normal
normal_019.h5,train,normal
normal_098.h5,train,normal
normal_121.h5,train,normal
normal_001.h5,train,normal
normal_018.h5,train,normal
normal_053.h5,train,normal
normal_123.h5,train,normal
normal_039.h5,train,normal
normal_073.h5,train,normal
normal_132.h5,train,normal
normal_096.h5,train,normal
normal_003.h5,train,normal
normal_020.h5,train,normal
normal_077.h5,train,normal
normal_142.h5,train,normal
normal_068.h5,train,normal
normal_157.h5,train,normal
normal_156.h5,train,normal
normal_143.h5,train,normal
normal_112.h5,train,normal
normal_004.h5,train,normal
normal_102.h5,train,normal
normal_055.h5,train,normal
normal_033.h5,train,normal
normal_076.h5,train,normal
normal_015.h5,train,normal
normal_148.h5,train,normal
normal_054.h5,train,normal
normal_044.h5,train,normal
normal_064.h5,train,normal
normal_099.h5,train,normal
normal_050.h5,train,normal
normal_066.h5,train,normal
normal_094.h5,train,normal
normal_115.h5,train,normal
normal_065.h5,train,normal
normal_017.h5,train,normal
normal_084.h5,train,normal
normal_070.h5,train,normal
normal_145.h5,train,normal
normal_026.h5,train,normal
normal_079.h5,train,normal
normal_106.h5,train,normal
normal_014.h5,train,normal
normal_104.h5,train,normal
normal_130.h5,train,normal
normal_140.h5,train,normal
normal_037.h5,train,normal
normal_061.h5,train,normal
normal_093.h5,train,normal
normal_028.h5,train,normal
normal_103.h5,train,normal
normal_075.h5,train,normal
normal_052.h5,train,normal
normal_136.h5,train,normal
normal_005.h5,train,normal
normal_097.h5,train,normal
normal_149.h5,train,normal
normal_042.h5,train,normal
normal_160.h5,train,normal
normal_133.h5,train,normal
normal_101.h5,train,normal
normal_118.h5,train,normal
normal_146.h5,train,normal
normal_090.h5,train,normal
normal_032.h5,train,normal
normal_139.h5,train,normal
normal_022.h5,train,normal
normal_122.h5,train,normal
normal_010.h5,train,normal
normal_083.h5,train,normal
normal_035.h5,train,normal
normal_129.h5,train,normal
normal_125.h5,train,normal
normal_048.h5,train,normal
normal_021.h5,train,normal
normal_107.h5,train,normal
normal_082.h5,train,normal
normal_117.h5,train,normal
normal_155.h5,train,normal
normal_114.h5,train,normal
normal_126.h5,train,normal
normal_100.h5,train,normal
normal_113.h5,train,normal
