slidename,label
normal_062,normal
normal_091,normal
normal_120,normal
normal_043,normal
normal_144,normal
normal_087,normal
normal_134,normal
normal_128,normal
normal_137,normal
normal_067,normal
normal_031,normal
normal_124,normal
normal_152,normal
normal_019,normal
normal_098,normal
normal_121,normal
normal_001,normal
normal_018,normal
normal_053,normal
normal_123,normal
normal_039,normal
normal_073,normal
normal_132,normal
normal_096,normal
normal_003,normal
normal_020,normal
normal_077,normal
normal_142,normal
normal_068,normal
normal_157,normal
normal_156,normal
normal_143,normal
normal_112,normal
normal_004,normal
normal_102,normal
normal_055,normal
normal_033,normal
normal_076,normal
normal_015,normal
normal_148,normal
normal_054,normal
normal_044,normal
normal_064,normal
normal_099,normal
normal_050,normal
normal_066,normal
normal_094,normal
normal_115,normal
normal_065,normal
normal_017,normal
normal_084,normal
normal_070,normal
normal_145,normal
normal_026,normal
normal_079,normal
normal_106,normal
normal_014,normal
normal_104,normal
normal_130,normal
normal_140,normal
normal_037,normal
normal_061,normal
normal_093,normal
normal_028,normal
normal_103,normal
normal_075,normal
normal_052,normal
normal_136,normal
normal_005,normal
normal_097,normal
normal_149,normal
normal_042,normal
normal_160,normal
normal_133,normal
normal_101,normal
normal_118,normal
normal_146,normal
normal_090,normal
normal_032,normal
normal_139,normal
normal_022,normal
normal_122,normal
normal_010,normal
normal_083,normal
normal_035,normal
normal_129,normal
normal_125,normal
normal_048,normal
normal_021,normal
normal_107,normal
normal_082,normal
normal_117,normal
normal_155,normal
normal_114,normal
normal_126,normal
normal_100,normal
normal_113,normal
normal_111,normal
normal_030,normal
normal_085,normal
normal_119,normal
normal_150,normal
normal_092,normal
normal_025,normal
normal_074,normal
normal_047,normal
normal_080,normal
normal_081,normal
normal_108,normal
normal_038,normal
normal_158,normal
normal_011,normal
normal_127,normal
normal_016,normal
normal_069,normal
normal_059,normal
normal_095,normal
normal_006,normal
normal_105,normal
normal_034,normal
normal_078,normal
normal_045,normal
normal_135,normal
normal_046,normal
normal_013,normal
normal_049,normal
normal_012,normal
tumor_013,tumor
tumor_049,tumor
tumor_067,tumor
tumor_092,tumor
tumor_019,tumor
tumor_062,tumor
tumor_100,tumor
tumor_060,tumor
tumor_010,tumor
tumor_106,tumor
tumor_076,tumor
tumor_030,tumor
tumor_006,tumor
tumor_024,tumor
tumor_027,tumor
tumor_037,tumor
tumor_025,tumor
tumor_096,tumor
tumor_044,tumor
tumor_097,tumor
tumor_109,tumor
tumor_012,tumor
tumor_102,tumor
tumor_088,tumor
tumor_075,tumor
tumor_045,tumor
tumor_007,tumor
tumor_035,tumor
tumor_105,tumor
tumor_053,tumor
tumor_074,tumor
tumor_051,tumor
tumor_084,tumor
tumor_079,tumor
tumor_107,tumor
tumor_032,tumor
tumor_018,tumor
tumor_059,tumor
tumor_033,tumor
tumor_043,tumor
tumor_056,tumor
tumor_090,tumor
tumor_103,tumor
tumor_050,tumor
tumor_004,tumor
tumor_041,tumor
tumor_046,tumor
tumor_064,tumor
tumor_094,tumor
tumor_066,tumor
tumor_054,tumor
tumor_080,tumor
tumor_036,tumor
tumor_038,tumor
tumor_002,tumor
tumor_083,tumor
tumor_005,tumor
tumor_089,tumor
tumor_016,tumor
tumor_085,tumor
tumor_029,tumor
tumor_072,tumor
tumor_058,tumor
tumor_057,tumor
tumor_099,tumor
tumor_052,tumor
tumor_087,tumor
tumor_101,tumor
tumor_028,tumor
tumor_055,tumor
tumor_095,tumor
tumor_034,tumor
tumor_022,tumor
tumor_071,tumor
tumor_061,tumor
tumor_093,tumor
tumor_017,tumor
tumor_069,tumor
tumor_009,tumor
tumor_091,tumor
tumor_104,tumor
tumor_011,tumor
tumor_073,tumor
tumor_086,tumor
tumor_008,tumor
tumor_031,tumor
tumor_040,tumor
tumor_047,tumor
